Arrival,Price,Dates
258.0,2200,2019-08-28
249.0,2300,2019-08-29
194.0,2300,2019-08-30
173.0,2250,2019-08-31
247.0,2100,2019-09-03
181.0,2350,2019-09-05
235.0,2200,2019-09-07
180.0,2400,2019-09-09
2.0,3200,2019-09-13
176.0,3200,2019-09-14
215.0,3300,2019-09-16
183.0,3250,2019-09-17
167.0,3300,2019-09-18
90.0,4100,2019-09-19
149.0,4200,2019-09-20
181.0,4100,2019-09-21
151.0,4000,2019-09-23
116.0,3900,2019-09-24
118.0,3500,2019-09-25
67.0,3100,2019-09-26
94.0,3300,2019-09-27
89.0,3550,2019-09-28
102.0,3550,2019-09-30
102.0,3300,2019-10-01
55.0,2900,2019-10-03
47.0,3000,2019-10-04
54.0,3200,2019-10-05
34.0,3400,2019-10-07
68.0,3500,2019-10-08
46.0,3600,2019-10-09
78.0,3300,2019-10-10
84.0,3250,2019-10-11
107.0,3200,2019-10-12
108.0,2900,2019-10-14
105.0,3000,2019-10-15
68.0,2600,2019-10-16
48.0,2300,2019-10-17
63.0,2400,2019-10-18
94.0,2300,2019-10-19
42.0,3300,2019-10-22
55.0,3800,2019-10-23
47.0,3800,2019-10-24
46.0,3500,2019-10-25
95.0,3900,2019-10-26
53.0,4800,2019-11-04
36.0,5000,2019-11-05
53.0,4600,2019-11-06
48.0,3400,2019-11-07
70.0,3700,2019-11-08
43.0,4000,2019-11-09
24.0,4100,2019-11-11
115.0,4000,2019-11-12
24.0,3251,2019-11-13
17.0,3700,2019-11-14
52.0,4000,2019-11-15
14.0,3200,2019-11-18
10.0,4700,2019-11-19
12.0,3150,2019-11-20
19.0,4950,2019-11-21
18.0,5000,2019-11-22
14.0,5100,2019-11-23
24.0,5500,2019-11-25
9.0,5600,2019-11-26
17.0,4200,2019-11-27
16.0,6000,2019-11-28
18.0,5500,2019-11-29
9.0,5100,2019-11-30
1.0,6200,2019-12-02
1.0,5100,2019-12-02
12.0,6500,2019-12-03
12.0,8000,2019-12-03
27.0,7500,2019-12-06
19.0,5200,2019-12-07
1.0,5500,2019-12-09
1.0,8000,2019-12-09
46.0,4500,2019-12-11
46.0,7000,2019-12-11
55.0,4300,2019-12-12
26.0,4500,2019-12-13
33.0,4800,2019-12-14
43.0,5200,2019-12-15
43.0,5200,2019-12-16
58.0,6000,2019-12-17
43.0,5600,2019-12-18
49.0,5000,2019-12-19
90.0,5100,2019-12-20
107.0,4700,2019-12-21
138.0,5500,2019-12-23
82.0,5500,2019-12-25
82.0,5100,2019-12-26
111.0,5400,2019-12-27
118.0,5500,2019-12-28
161.0,4000,2019-12-31
139.0,3500,2020-01-01
120.0,3500,2020-01-02
188.0,3500,2020-01-04
135.0,3700,2020-01-06
139.0,3000,2020-01-08
130.0,3050,2020-01-09
127.0,2250,2020-01-11
190.0,2350,2020-01-13
139.0,2500,2020-01-14
110.0,2400,2020-01-15
76.0,2500,2020-01-16
91.0,2600,2020-01-17
136.0,3200,2020-01-20
151.0,3100,2020-01-21
125.0,3600,2020-01-22
168.0,3200,2020-01-23
191.0,2600,2020-01-27
237.0,2000,2020-01-29
185.0,2100,2020-01-30
130.0,2100,2020-01-31
195.0,2000,2020-02-01
201.0,2000,2020-02-03
148.0,1800,2020-02-04
226.0,1500,2020-02-05
175.0,1600,2020-02-06
135.0,1700,2020-02-07
145.0,1400,2020-02-08
146.0,1600,2020-02-10
114.0,1650,2020-02-11
91.0,1600,2020-02-12
110.0,1800,2020-02-13
99.0,1700,2020-02-14
133.0,1700,2020-02-15
159.0,1700,2020-02-17
140.0,1600,2020-02-18
226.0,1650,2020-02-20
76.0,1600,2020-02-21
153.0,1800,2020-02-22
167.0,1700,2020-02-24
120.0,1600,2020-02-25
169.0,1900,2020-02-26
126.0,1800,2020-02-27
91.0,1800,2020-02-28
198.0,1600,2020-03-02
152.0,1550,2020-03-03
146.0,1650,2020-03-05
126.0,1700,2020-03-06
233.0,1600,2020-03-07
120.0,1300,2020-03-11
82.0,1350,2020-03-12
30.0,1400,2020-03-13
326.0,1550,2020-03-16
355.0,1350,2020-03-17
341.0,1050,2020-03-18
206.0,950,2020-04-03
198.0,1000,2020-04-04
504.0,800,2020-04-06
319.0,900,2020-04-07
417.0,850,2020-04-18
298.0,750,2020-04-30
216.0,700,2020-05-06
230.0,650,2020-05-07
283.0,650,2020-05-08
296.0,600,2020-05-09
260.0,500,2020-05-14
327.0,550,2020-05-15
350.0,525,2020-05-16
440.0,550,2020-05-18
421.0,525,2020-05-19
325.0,550,2020-05-20
264.0,450,2020-05-21
257.0,450,2020-05-22
241.0,450,2020-05-23
265.0,600,2020-06-01
265.0,600,2020-06-02
178.0,800,2020-06-03
71.0,750,2020-06-04
244.0,600,2020-06-05
209.0,850,2020-06-06
477.0,875,2020-06-08
268.0,850,2020-06-09
242.0,850,2020-06-10
191.0,750,2020-06-11
196.0,850,2020-06-12
140.0,850,2020-06-13
242.0,875,2020-06-15
274.0,700,2020-06-17
284.0,650,2020-06-18
223.0,600,2020-06-19
197.0,650,2020-06-20
193.0,600,2020-06-22
85.0,650,2020-06-23
113.0,800,2020-06-24
40.0,750,2020-06-25
116.0,600,2020-07-01
107.0,600,2020-07-02
118.0,650,2020-07-03
174.0,650,2020-07-04
175.0,525,2020-07-06
123.0,550,2020-07-07
151.0,525,2020-07-08
137.0,550,2020-07-09
140.0,500,2020-07-10
140.0,575,2020-07-11
185.0,550,2020-07-13
118.0,600,2020-07-14
133.0,550,2020-07-15
96.0,600,2020-07-16
125.0,600,2020-07-17
137.0,625,2020-07-18
86.0,600,2020-07-20
135.0,525,2020-07-21
151.0,525,2020-07-22
143.0,600,2020-07-23
253.0,580,2020-07-27
147.0,525,2020-07-28
208.0,600,2020-07-29
178.0,625,2020-07-30
163.0,525,2020-07-31
229.0,520,2020-08-01
224.0,500,2020-08-04
160.0,550,2020-08-05
137.0,560,2020-08-06
159.0,450,2020-08-07
172.0,550,2020-08-08
174.0,600,2020-08-10
108.0,650,2020-08-11
123.0,825,2020-08-12
114.0,750,2020-08-13
104.0,850,2020-08-14
297.0,1250,2020-08-17
172.0,1200,2020-08-18
175.0,1350,2020-08-19
294.0,1550,2020-08-20
559.0,950,2020-08-22
464.0,1150,2020-08-24
307.0,1175,2020-08-25
284.0,1300,2020-08-27
232.0,1375,2020-08-28
344.0,1400,2020-08-29
677.0,1400,2020-08-31
380.0,1450,2020-09-02
306.0,1800,2020-09-03
316.0,1900,2020-09-04
340.0,1800,2020-09-05
338.0,1750,2020-09-07
294.0,1850,2020-09-08
283.0,2100,2020-09-09
264.0,2100,2020-09-10
238.0,2400,2020-09-11
185.0,2300,2020-09-12
222.0,2800,2020-09-14
196.0,2300,2020-09-15
162.0,2400,2020-09-16
96.0,2300,2020-09-17
79.0,2500,2020-09-18
90.0,2650,2020-09-19
218.0,2350,2020-09-21
185.0,3400,2020-09-22
226.0,3200,2020-09-23
272.0,3000,2020-09-24
169.0,2700,2020-09-25
233.0,3250,2020-09-28
159.0,3150,2020-09-29
126.0,3300,2020-09-30
95.0,3400,2020-10-01
108.0,3100,2020-10-02
108.0,3100,2020-10-03
125.0,3000,2020-10-05
73.0,3150,2020-10-06
103.0,3100,2020-10-07
96.0,3100,2020-10-08
79.0,3100,2020-10-09
82.0,3300,2020-10-10
64.0,3200,2020-10-13
30.0,4750,2020-10-28
27.0,4550,2020-10-30
50.0,5300,2020-10-31
17.0,3050,2020-11-03
17.0,4050,2020-11-03
89.0,3600,2020-11-07
7.0,1725,2020-11-11
7.0,3950,2020-11-11
6.0,3600,2020-11-12
6.0,1600,2020-11-12
12.0,3550,2020-11-13
12.0,1950,2020-11-13
87.0,3500,2020-11-16
15.0,4200,2020-11-21
15.0,4000,2020-11-21
104.0,4090,2020-11-23
43.0,3350,2020-11-25
43.0,3600,2020-11-25
73.0,4000,2020-11-26
73.0,3200,2020-11-26
39.0,2900,2020-11-27
39.0,3200,2020-11-27
42.0,3100,2020-11-28
42.0,2450,2020-11-28
46.0,3050,2020-11-30
46.0,2500,2020-11-30
88.0,3000,2020-12-02
28.0,3000,2020-12-03
28.0,2800,2020-12-03
25.0,2100,2020-12-04
25.0,2400,2020-12-04
25.0,2100,2020-12-05
25.0,1850,2020-12-05
34.0,2500,2020-12-07
34.0,2400,2020-12-07
17.0,2400,2020-12-09
17.0,2550,2020-12-09
15.0,2550,2020-12-10
15.0,2800,2020-12-10
21.0,2650,2020-12-11
21.0,2100,2020-12-11
21.0,2450,2020-12-12
21.0,2720,2020-12-12
41.0,2530,2020-12-14
23.0,2800,2020-12-15
23.0,2350,2020-12-15
20.0,2650,2020-12-16
20.0,2250,2020-12-16
22.0,2450,2020-12-17
22.0,2600,2020-12-17
239.0,2100,2020-12-18
262.0,1560,2020-12-19
261.0,1840,2020-12-21
175.0,1800,2020-12-23
171.0,1930,2020-12-24
197.0,1900,2020-12-25
213.0,1650,2020-12-26
272.0,2450,2020-12-29
110.0,2130,2020-12-30
91.0,2050,2020-12-31
110.0,2350,2021-01-01
175.0,2100,2021-01-02
271.0,1750,2021-01-04
278.0,2100,2021-01-05
105.0,2150,2021-01-14
49.0,2600,2021-01-15
93.0,2550,2021-01-16
133.0,2350,2021-01-18
136.0,2400,2021-01-19
125.0,2700,2021-01-20
109.0,2250,2021-01-21
103.0,2400,2021-01-22
183.0,2350,2021-01-23
177.0,2450,2021-01-25
138.0,2200,2021-01-27
106.0,2400,2021-01-28
89.0,2300,2021-01-29
91.0,2250,2021-01-30
95.0,2350,2021-02-01
67.0,2650,2021-02-02
68.0,2550,2021-02-03
60.0,2800,2021-02-04
80.0,2850,2021-02-05
76.0,3100,2021-02-09
100.0,3400,2021-02-10
112.0,3150,2021-02-11
112.0,3150,2021-02-11
100.0,3300,2021-02-12
106.0,3100,2021-02-15
76.0,3150,2021-02-16
72.0,3510,2021-02-17
63.0,3550,2021-02-18
134.0,3500,2021-02-20
109.0,4100,2021-02-22
150.0,4100,2021-02-23
112.0,3100,2021-02-24
95.0,2800,2021-02-25
177.0,2100,2021-02-26
221.0,1800,2021-02-27
144.0,2000,2021-03-01
80.0,2200,2021-03-02
68.0,2100,2021-03-03
140.0,1800,2021-03-05
167.0,1800,2021-03-06
238.0,1450,2021-03-08
190.0,1300,2021-03-09
162.0,1200,2021-03-10
100.0,1200,2021-03-11
122.0,1350,2021-03-12
83.0,1350,2021-03-13
160.0,1300,2021-03-15
146.0,1050,2021-03-20
182.0,950,2021-03-22
138.0,900,2021-03-23
110.0,900,2021-03-24
140.0,960,2021-03-25
143.0,950,2021-03-26
147.0,970,2021-03-27
119.0,950,2021-03-30
119.0,900,2021-03-31
110.0,950,2021-04-01
76.0,950,2021-04-02
222.0,890,2021-04-03
167.0,950,2021-04-05
200.0,800,2021-04-06
173.0,950,2021-04-07
173.0,950,2021-04-07
183.0,900,2021-04-09
166.0,850,2021-04-10
193.0,950,2021-04-12
225.0,900,2021-04-14
118.0,950,2021-04-15
102.0,1050,2021-04-23
121.0,1000,2021-04-24
165.0,950,2021-04-26
125.0,900,2021-04-27
129.0,1050,2021-04-28
159.0,1100,2021-04-29
225.0,1000,2021-04-30
361.0,1150,2021-05-03
353.0,1100,2021-05-04
319.0,1200,2021-05-05
360.0,1000,2021-05-06
321.0,1050,2021-05-07
259.0,1000,2021-05-08
393.0,950,2021-05-09
441.0,1350,2021-05-11
191.0,1350,2021-05-24
273.0,1250,2021-05-25
372.0,1350,2021-05-26
451.0,1300,2021-05-27
613.0,1550,2021-05-28
481.0,1600,2021-05-29
584.0,1600,2021-05-31
454.0,1750,2021-06-01
385.0,1700,2021-06-02
409.0,1750,2021-06-03
392.0,1800,2021-06-04
369.0,1700,2021-06-05
389.0,1650,2021-06-08
362.0,1800,2021-06-10
259.0,1650,2021-06-12
352.0,1700,2021-06-14
261.0,1800,2021-06-15
234.0,1850,2021-06-16
291.0,1800,2021-06-17
307.0,1900,2021-06-18
250.0,1900,2021-06-19
466.0,1800,2021-06-21
380.0,1850,2021-06-22
358.0,1700,2021-06-23
310.0,1750,2021-06-24
293.0,1500,2021-06-25
207.0,1700,2021-06-26
253.0,1700,2021-06-28
256.0,1650,2021-06-29
231.0,1600,2021-06-30
218.0,1600,2021-07-02
184.0,1500,2021-07-03
217.0,1500,2021-07-05
190.0,1550,2021-07-06
214.0,1650,2021-07-07
165.0,1400,2021-07-08
200.0,1550,2021-07-09
204.0,1500,2021-07-10
179.0,1475,2021-07-13
217.0,1400,2021-07-14
204.0,1350,2021-07-15
159.0,1370,2021-07-16
206.0,1350,2021-07-17
217.0,1300,2021-07-19
150.0,1200,2021-07-20
145.0,1400,2021-07-21
182.0,1500,2021-07-22
181.0,1550,2021-07-23
204.0,1500,2021-07-24
249.0,1650,2021-07-26
250.0,1750,2021-07-27
216.0,1780,2021-07-28
191.0,1810,2021-07-29
18.0,1800,2021-07-30
253.0,1670,2021-07-31
283.0,1550,2021-08-02
220.0,1400,2021-08-03
234.0,1500,2021-08-04
175.0,1200,2021-08-06
248.0,1400,2021-08-07
247.0,1500,2021-08-09
199.0,1400,2021-08-10
147.0,1400,2021-08-11
143.0,1300,2021-08-12
155.0,1500,2021-08-13
137.0,1350,2021-08-14
212.0,1520,2021-08-16
248.0,1550,2021-08-17
202.0,1400,2021-08-18
220.0,1450,2021-08-19
185.0,1400,2021-08-20
294.0,1350,2021-08-21
204.0,1150,2021-08-23
210.0,1350,2021-08-24
228.0,1250,2021-08-25
192.0,1100,2021-08-26
203.0,1250,2021-08-27
288.0,1100,2021-08-28
302.0,1400,2021-08-30
208.0,1112,2021-08-31
199.0,1250,2021-09-01
195.0,1280,2021-09-02
198.0,1200,2021-09-03
219.0,1200,2021-09-04
196.0,1200,2021-09-06
87.0,1250,2021-09-07
174.0,1150,2021-09-08
183.0,1370,2021-09-09
210.0,1330,2021-09-11
323.0,1251,2021-09-13
272.0,350,2021-09-14
272.0,1350,2021-09-14
208.0,1250,2021-09-17
241.0,1200,2021-09-18
235.0,1350,2021-09-20
234.0,700,2021-09-21
234.0,1500,2021-09-21
205.0,1600,2021-09-22
235.0,1800,2021-09-23
273.0,1500,2021-09-25
320.0,1600,2021-09-27
250.0,1800,2021-09-28
214.0,2200,2021-09-29
189.0,2600,2021-09-30
265.0,2650,2021-10-01
299.0,2800,2021-10-02
300.0,3800,2021-10-04
327.0,2800,2021-10-05
345.0,3200,2021-10-06
245.0,2680,2021-10-07
216.0,2700,2021-10-08
253.0,3400,2021-10-09
252.0,3500,2021-10-12
219.0,3300,2021-10-13
234.0,2700,2021-10-14
161.0,2200,2021-10-15
118.0,2400,2021-10-16
200.0,2400,2021-10-20
175.0,2300,2021-10-22
177.0,2350,2021-10-25
175.0,2250,2021-10-26
158.0,2150,2021-10-27
135.0,2100,2021-10-28
144.0,2000,2021-10-29
175.0,2250,2021-10-30
165.0,1950,2021-11-01
169.0,1600,2021-11-02
63.0,1850,2021-11-03
106.0,2200,2021-11-10
97.0,2150,2021-11-11
112.0,1950,2021-11-12
179.0,1500,2021-11-15
179.0,2800,2021-11-15
139.0,2400,2021-11-16
139.0,1575,2021-11-16
155.0,1500,2021-11-17
155.0,1900,2021-11-17
104.0,1450,2021-11-18
109.0,1700,2021-11-19
109.0,1600,2021-11-19
164.0,1750,2021-11-20
164.0,1850,2021-11-20
120.0,1850,2021-11-22
93.0,1800,2021-11-23
93.0,1900,2021-11-23
206.0,1100,2021-11-24
206.0,1850,2021-11-24
94.0,1600,2021-11-25
91.0,1700,2021-11-26
107.0,1600,2021-11-27
107.0,1600,2021-11-27
137.0,1450,2021-11-29
142.0,1700,2021-11-30
142.0,1650,2021-11-30
115.0,1400,2021-12-01
115.0,1500,2021-12-01
40.0,1000,2021-12-02
40.0,1650,2021-12-02
57.0,1500,2021-12-03
70.0,1800,2021-12-04
70.0,1750,2021-12-04
179.0,1250,2021-12-06
179.0,1650,2021-12-06
174.0,1600,2021-12-07
174.0,1150,2021-12-07
123.0,1200,2021-12-08
123.0,1550,2021-12-08
118.0,1150,2021-12-09
118.0,1700,2021-12-09
73.0,1750,2021-12-10
163.0,1750,2021-12-11
163.0,1500,2021-12-11
158.0,1500,2021-12-13
158.0,1850,2021-12-13
159.0,1300,2021-12-14
159.0,1500,2021-12-14
137.0,1250,2021-12-15
137.0,1650,2021-12-15
154.0,1700,2021-12-16
154.0,1200,2021-12-16
236.0,1650,2021-12-17
236.0,1150,2021-12-17
179.0,1100,2021-12-18
179.0,1550,2021-12-18
171.0,1350,2021-12-20
171.0,1100,2021-12-20
170.0,1250,2021-12-21
170.0,1300,2021-12-21
153.0,1300,2021-12-23
153.0,1400,2021-12-23
175.0,1800,2021-12-24
175.0,1700,2021-12-24
176.0,1900,2021-12-25
176.0,1800,2021-12-25
7.0,1850,2021-12-27
210.0,2500,2021-12-28
210.0,1600,2021-12-28
192.0,1400,2021-12-29
192.0,1800,2021-12-29
197.0,1600,2021-12-30
197.0,1800,2021-12-30
203.0,2000,2021-12-31
203.0,1900,2021-12-31
221.0,1800,2022-01-01
221.0,1900,2022-01-01
207.0,1650,2022-01-03
207.0,1950,2022-01-03
199.0,2250,2022-01-04
284.0,1950,2022-01-05
181.0,1800,2022-01-06
275.0,1750,2022-01-08
320.0,1850,2022-01-10
265.0,1800,2022-01-11
288.0,1700,2022-01-12
244.0,1700,2022-01-14
273.0,1750,2022-01-17
270.0,1650,2022-01-18
230.0,1800,2022-01-19
237.0,1900,2022-01-20
309.0,1950,2022-01-21
291.0,2000,2022-01-22
408.0,1950,2022-01-24
297.0,1850,2022-01-25
329.0,1400,2022-01-27
295.0,1300,2022-01-28
356.0,1800,2022-01-29
366.0,1850,2022-01-31
341.0,1800,2022-02-02
292.0,1750,2022-02-03
325.0,1800,2022-02-04
257.0,1750,2022-02-05
238.0,1950,2022-02-07
243.0,1700,2022-02-08
270.0,2100,2022-02-09
204.0,2500,2022-02-10
236.0,2450,2022-02-11
255.0,2650,2022-02-12
257.0,2800,2022-02-14
301.0,2450,2022-02-15
323.0,2250,2022-02-16
243.0,2150,2022-02-17
355.0,2250,2022-02-18
291.0,2550,2022-02-21
319.0,2250,2022-02-22
241.0,2100,2022-02-23
225.0,1950,2022-02-24
209.0,1800,2022-02-25
259.0,1950,2022-02-26
294.0,1850,2022-02-28
310.0,1750,2022-03-01
238.0,1750,2022-03-02
286.0,1850,2022-03-03
265.0,1450,2022-03-04
367.0,1450,2022-03-05
265.0,1650,2022-03-07
397.0,950,2022-03-08
190.0,1450,2022-03-09
222.0,1350,2022-03-10
173.0,1250,2022-03-11
251.0,1250,2022-03-12
197.0,1200,2022-03-14
267.0,1250,2022-03-15
230.0,1200,2022-03-16
164.0,1050,2022-03-17
104.0,1000,2022-03-18
232.0,1050,2022-03-19
284.0,850,2022-03-21
56.0,850,2022-03-22
249.0,750,2022-03-23
205.0,800,2022-03-24
161.0,850,2022-03-25
166.0,750,2022-03-26
151.0,800,2022-03-27
191.0,850,2022-03-29
157.0,800,2022-03-30
178.0,750,2022-03-31
233.0,750,2022-04-01
241.0,850,2022-04-04
146.0,750,2022-04-05
235.0,750,2022-04-06
223.0,850,2022-04-07
215.0,750,2022-04-08
189.0,700,2022-04-09
215.0,750,2022-04-11
126.0,700,2022-04-12
98.0,750,2022-04-13
75.0,850,2022-04-14
101.0,800,2022-04-15
72.0,800,2022-04-16
227.0,750,2022-04-18
153.0,850,2022-04-19
186.0,900,2022-04-20
193.0,850,2022-04-21
209.0,850,2022-04-22
260.0,750,2022-04-23
244.0,750,2022-04-25
225.0,750,2022-04-26
239.0,700,2022-04-27
208.0,750,2022-04-28
182.0,700,2022-04-29
225.0,750,2022-04-30
186.0,750,2022-05-02
197.0,750,2022-05-04
214.0,700,2022-05-05
217.0,700,2022-05-06
463.0,750,2022-05-09
309.0,700,2022-05-10
348.0,700,2022-05-11
316.0,700,2022-05-16
233.0,700,2022-05-17
253.0,700,2022-05-18
236.0,700,2022-05-19
226.0,650,2022-05-20
230.0,670,2022-05-21
375.0,625,2022-05-23
373.0,700,2022-05-24
291.0,660,2022-05-25
258.0,651,2022-05-26
323.0,720,2022-05-27
293.0,675,2022-05-28
346.0,730,2022-05-31
377.0,751,2022-06-02
446.0,775,2022-06-04
446.0,775,2022-06-07
307.0,1150,2022-06-08
306.0,1200,2022-06-09
489.0,1300,2022-06-13
389.0,1350,2022-06-14
326.0,1200,2022-06-18
412.0,1100,2022-06-20
4.0,1200,2022-06-21
331.0,1100,2022-06-22
263.0,1200,2022-06-23
270.0,1250,2022-06-24
275.0,1200,2022-06-25
426.0,1150,2022-06-27
353.0,1200,2022-06-28
365.0,1150,2022-06-29
419.0,1200,2022-06-30
337.0,1100,2022-07-05
349.0,1150,2022-07-06
342.0,1160,2022-07-07
300.0,1200,2022-07-08
315.0,1170,2022-07-09
242.0,1100,2022-07-11
283.0,1200,2022-07-12
314.0,1250,2022-07-13
346.0,1300,2022-07-14
382.0,1150,2022-07-15
471.0,1200,2022-07-16
599.0,1050,2022-07-18
600.0,1000,2022-07-19
511.0,950,2022-07-20
374.0,900,2022-07-21
316.0,850,2022-07-22
254.0,800,2022-07-23
311.0,850,2022-07-25
246.0,800,2022-07-26
246.0,850,2022-07-27
152.0,900,2022-07-28
189.0,950,2022-07-29
257.0,1000,2022-07-30
281.0,1100,2022-08-02
314.0,1150,2022-08-03
263.0,1150,2022-08-04
238.0,1100,2022-08-05
283.0,1050,2022-08-06
316.0,1050,2022-08-08
208.0,1050,2022-08-09
314.0,1000,2022-08-10
303.0,1000,2022-08-12
151.0,1100,2022-08-16
226.0,1250,2022-08-17
237.0,1275,2022-08-18
324.0,1250,2022-08-19
448.0,1150,2022-08-20
468.0,1150,2022-08-22
348.0,1175,2022-08-23
372.0,1150,2022-08-24
370.0,1100,2022-08-25
204.0,1200,2022-08-27
283.0,950,2022-08-31
406.0,1000,2022-09-03
290.0,950,2022-09-07
282.0,1000,2022-09-08
230.0,1050,2022-09-15
259.0,1050,2022-09-17
210.0,1025,2022-09-22
234.0,1000,2022-09-23
215.0,1200,2022-09-28
245.0,1300,2022-09-29
195.0,1150,2022-09-30
280.0,1350,2022-10-04
258.0,1350,2022-10-05
185.0,1400,2022-10-06
330.0,1550,2022-10-07
484.0,1650,2022-10-10
496.0,1625,2022-10-12
373.0,1600,2022-10-13
406.0,1700,2022-10-14
376.0,1600,2022-10-15
373.0,1550,2022-10-17
302.0,1600,2022-10-18
307.0,1750,2022-10-19
338.0,1650,2022-10-20
234.0,1600,2022-10-21
225.0,1650,2022-10-24
88.0,1600,2022-10-25
130.0,1700,2022-10-26
173.0,2500,2022-11-01
166.0,2550,2022-11-02
200.0,2600,2022-11-03
245.0,2650,2022-11-04
267.0,2500,2022-11-05
292.0,1850,2022-11-07
233.0,1650,2022-11-08
222.0,1800,2022-11-09
196.0,1850,2022-11-10
230.0,1880,2022-11-11
189.0,1700,2022-11-16
175.0,1400,2022-11-17
237.0,1300,2022-11-18
234.0,1200,2022-11-19
119.0,1200,2022-11-23
126.0,1350,2022-11-24
103.0,1550,2022-11-30
103.0,1100,2022-11-30
137.0,1200,2022-12-02
145.0,1650,2022-12-03
145.0,1255,2022-12-03
92.0,1100,2022-12-08
64.0,1150,2022-12-09
104.0,900,2022-12-10
78.0,1200,2022-12-12
78.0,1700,2022-12-12
78.0,1100,2022-12-13
78.0,1700,2022-12-13
82.0,1200,2022-12-14
82.0,1750,2022-12-14
74.0,1100,2022-12-15
74.0,1500,2022-12-15
79.0,1150,2022-12-16
79.0,1600,2022-12-16
69.0,1100,2022-12-17
69.0,1500,2022-12-17
75.0,1725,2022-12-19
75.0,1000,2022-12-19
69.0,1750,2022-12-20
69.0,1250,2022-12-20
33.0,1550,2022-12-21
33.0,1350,2022-12-21
87.0,1800,2022-12-23
87.0,1800,2022-12-23
43.0,1800,2022-12-24
94.0,1850,2022-12-28
94.0,1200,2022-12-28
101.0,1400,2022-12-29
101.0,1800,2022-12-29
50.0,1100,2022-12-31
169.0,1551,2023-01-04
169.0,1300,2023-01-04
157.0,1300,2023-01-07
157.0,1501,2023-01-07
175.0,1300,2023-01-11
175.0,1501,2023-01-11
236.0,1301,2023-01-12
236.0,1200,2023-01-12
146.0,1321,2023-01-17
146.0,900,2023-01-17
257.0,1475,2023-01-21
335.0,1300,2023-01-23
270.0,1350,2023-01-24
270.0,1350,2023-01-25
282.0,1251,2023-01-27
267.0,1201,2023-01-28
307.0,1000,2023-01-30
333.0,1100,2023-01-31
336.0,1000,2023-02-02
221.0,1101,2023-02-03
210.0,1100,2023-02-04
300.0,1000,2023-02-06
300.0,1000,2023-02-07
235.0,1100,2023-02-08
235.0,1100,2023-02-09
277.0,1100,2023-02-10
352.0,800,2023-02-13
318.0,800,2023-02-14
311.0,700,2023-02-15
245.0,600,2023-02-16
248.0,650,2023-02-17
186.0,750,2023-02-20
151.0,750,2023-02-21
257.0,600,2023-02-23
243.0,600,2023-02-24
294.0,575,2023-02-27
292.0,600,2023-02-28
250.0,700,2023-03-01
213.0,700,2023-03-02
178.0,750,2023-03-03
317.0,800,2023-03-04
297.0,700,2023-03-06
117.0,600,2023-03-08
180.0,700,2023-03-09
282.0,850,2023-03-10
291.0,800,2023-03-14
289.0,800,2023-03-15
231.0,700,2023-03-16
195.0,750,2023-03-17
169.0,850,2023-03-18
250.0,1000,2023-03-20
250.0,900,2023-03-20
336.0,750,2023-03-21
336.0,850,2023-03-21
299.0,800,2023-03-23
299.0,750,2023-03-23
304.0,850,2023-03-24
304.0,800,2023-03-24
383.0,950,2023-03-27
383.0,750,2023-03-27
327.0,600,2023-03-28
327.0,800,2023-03-28
395.0,750,2023-03-29
395.0,600,2023-03-29
372.0,750,2023-03-31
372.0,600,2023-03-31
111.0,601,2023-04-01
111.0,700,2023-04-01
177.0,625,2023-04-03
177.0,650,2023-04-03
146.0,900,2023-04-04
146.0,600,2023-04-04
156.0,601,2023-04-05
156.0,850,2023-04-05
159.0,900,2023-04-06
159.0,551,2023-04-06
320.0,850,2023-04-08
344.0,500,2023-04-10
344.0,750,2023-04-10
194.0,750,2023-04-11
194.0,500,2023-04-11
165.0,800,2023-04-12
165.0,550,2023-04-12
227.0,500,2023-04-13
227.0,750,2023-04-13
175.0,400,2023-04-15
175.0,700,2023-04-15
201.0,400,2023-04-17
201.0,750,2023-04-17
183.0,725,2023-04-18
183.0,401,2023-04-18
162.0,760,2023-04-19
162.0,450,2023-04-19
128.0,700,2023-04-20
217.0,750,2023-04-21
217.0,750,2023-04-24
215.0,300,2023-04-25
215.0,600,2023-04-25
156.0,700,2023-04-26
223.0,650,2023-04-27
165.0,600,2023-04-28
350.0,600,2023-05-02
178.0,750,2023-05-03
150.0,600,2023-05-04
166.0,650,2023-05-05
228.0,700,2023-05-06
378.0,755,2023-05-08
219.0,600,2023-05-09
210.0,650,2023-05-10
152.0,600,2023-05-11
173.0,600,2023-05-12
350.0,650,2023-05-15
228.0,650,2023-05-16
285.0,600,2023-05-17
209.0,600,2023-05-18
357.0,600,2023-05-19
214.0,650,2023-05-22
236.0,650,2023-05-23
234.0,700,2023-05-24
267.0,550,2023-05-25
313.0,600,2023-05-26
438.0,600,2023-05-27
410.0,750,2023-05-29
371.0,675,2023-05-30
394.0,550,2023-05-31
375.0,500,2023-06-01
291.0,550,2023-06-02
315.0,525,2023-06-03
471.0,475,2023-06-05
414.0,700,2023-06-06
499.0,750,2023-06-07
394.0,800,2023-06-08
478.0,800,2023-06-09
557.0,775,2023-06-12
581.0,700,2023-06-13
508.0,675,2023-06-14
440.0,700,2023-06-15
420.0,750,2023-06-16
404.0,700,2023-06-17
492.0,750,2023-06-19
451.0,700,2023-06-20
414.0,725,2023-06-21
340.0,750,2023-06-22
373.0,800,2023-06-23
326.0,800,2023-06-24
426.0,750,2023-06-26
